"participant_id","real_estate_id","real_estate_number","license_source_id","license_source_ar","license_source_en","license_number","license_issue_date","license_expiry_date","is_branch","main_office_id","webpage","phone","fax","activity_type_id","ded_activity_code","activity_type_ar","activity_type_en"
"5613436","5613435","11862","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","673724","12-07-2012","11-07-2016",null,null,"","044542975","044542973","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"5613436","5613435","11862","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","673724","12-07-2012","11-07-2016",null,null,"","044542975","044542973","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"44077082","44077033","17432","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","771621","06-12-2016","05-12-2017",null,null,"","","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"44077082","44077033","17432","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","771621","06-12-2016","05-12-2017",null,null,"","","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"45470712","45470710","17443","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","769287","25-12-2016","31-10-2017",null,null,"","048833121","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"45470712","45470710","17443","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","769287","25-12-2016","31-10-2017",null,null,"","048833121","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"33566976","33566974","17245","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","761534","29-08-2016","27-06-2017",null,null,"","04","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"33566976","33566974","17245","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","761534","29-08-2016","27-06-2017",null,null,"","04","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"16290881","16290899","16215","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","726299","03-02-2015","02-02-2021","0",null,"www.parson.ae","042944499","042949195","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"16290881","16290899","16215","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","726299","03-02-2015","02-02-2021","0",null,"www.parson.ae","042944499","042949195","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
