project_id,project_number,project_name,developer_id,developer_number,developer_name,master_developer_id,master_developer_number,master_developer_name,project_start_date,project_end_date,project_type_id,project_type_ar,project_classification_id,project_classification_ar,escrow_agent_id,escrow_agent_name,project_status,project_status_ar,percent_completed,completion_date,cancellation_date,project_description_ar,project_description_en,property_id,area_id,area_name_ar,area_name_en
40,40,SULAFA TOWER,14,14,اعمار العقارية (ش . م. ع),555,555,اعمار العقارية (ش . م. ع),01/03/2006,10/10/2010,1,عادي,1,مباني,13,املاك للتمويل (شركة مساهمة عامة ),FINISHED,منجز,100,10/10/2010,,مشروع برج سكني للتملك الحر يقع في منطقة مرسى دبي. المبنى مؤلف من4 سرداب + طابق ارضي + 4 منصه (بوديوم) + طابق نادي صحي + 2 طوابق خدمات + 69 طابق علوي مشيدة  بهيكل خرساني مع انهاءاته الداخلية والخارجية,Freehold residential tower development located at the Dubai Marina. The building is designed and constructed as a 4B+G+4P+HC+2S+69 storey high tower formed in a concrete structure with its internal and external finishes.,1100090059,330,مرسى دبي,Marsa Dubai
85,85,CENTRIUM TOWER,26,26,تيكوم للإستثمارات منطقة حرة- ذ.م.م,856,856,تيكوم للإستثمارات منطقة حرة- ذ.م.م,11/07/2006,26/12/2013,1,عادي,1,مباني,7,بنك الإمارات دبي الوطني (ش.م.ع),FINISHED,منجز,100,26/12/2013,,4 أبرج تجارية للتملك الحر تقع في منطقة الإنتاج الإعلامي العالمية بدبي.  الابراج مؤلفه من 25 طابق علوي  و  طابق بوديوم و طابق أرضى و  2 طابق سرداب. الأبراج مشيدة من هيكل خرسانى   مع انهاءاته الداخلية والخارجية.,Four freehold  residential tower development located at the  International Media Production Zone (IMPZ). The tower is designed to have 2B+G+P+25+HC storey high tower formed in a concrete structure with interior and exterior finishes.,1100166566,485,معيصم الأول,Me'Aisem First
92,92,GRANDEUR RESIDENCES,26,26,شركة نخيل (ش.م.خ),100,100,شركة نخيل (ش.م.خ),19/03/2006,11/07/2012,1,عادي,1,مباني,7,بنك الإمارات دبي الوطني (ش.م.ع),FINISHED,منجز,100,11/07/2012,,مشروع سكني للتملك الحر يقع في منطقة نخلة الجميرا .المشروع عبارة عن سرداب + طابق ارضي + 5 طوابق علويه .المبنى عبارة عن هيكل خرساني مع الانهاءات الخارجية و الداخلية.,"Freehold  residential buildings located in Palm Jumeirah. The building is designed to be B+G+5 storey, constructed out of concrete structure with internal and external finishes.",1100129193,410,نخلة جميرا,Palm Jumeirah
1300,1300,HOCKEY TOWER,900,900,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),23/05/2007,15/11/2010,1,عادي,1,مباني,null,,FINISHED,منجز,100,30/07/2011,,مشروع بناية سكنية للتملك الحر تقع في منطقة مدينة دبي الرياضية. البناية عبارة عن 2 سرداب+طابق ارضي+ 15 طابق علوي + طابق خدمات بهيكل خرساني مع انهاءاته الخارجية و الداخلية ,"Freehold residential building located in Dubai Sports City, the building is designed to have 2B+G+15+R floors. The building is being constructed as a concrete structure with internal and external finishes.",1100100057,435,الحبيه الرابعة,Al Hebiah Fourth
119,119,APEX ATRIUM,36,36,الاتحاد العقارية (شركة مساهمة عامة),27,27,الاتحاد العقارية (شركة مساهمة عامة),03/01/2008,25/07/2010,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,25/07/2010,, ,"Retail and Commercial Office Building located in Motor City, Dubailand consisting of 1B+1P+3+Roof with gym.",1100124967,444,الحبيه الاولى,Al Hebiah First
130,130, برج كيان,40,40,اعمار العقارية (ش . م. ع),555,555,اعمار العقارية (ش . م. ع),01/05/2006,23/05/2013,1,عادي,1,مباني,7,بنك الإمارات دبي الوطني (ش.م.ع),FINISHED,منجز,100,23/05/2013,,مشروع برج سكني للتملك الحر يقع في منطقة مرسى دبي. البرج مؤلف من2  سرداب+طابق ارضي+  73. بهيكل خرساني ملتوي مع انهاءاته الخارجية و الداخلية ,Freehold residential tower located in Dubai Marina. The tower consists of 6B+G+73. The building is formed in a concrete twisted shape structure with its external and internal finishes.,1100089897,330,مرسى دبي,Marsa Dubai
167,167,WESTAR REFLECTION,69,69,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),01/12/2008,03/02/2011,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,03/02/2011,,مشروع سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. المشروع عبارة عن 14 تاون هاوسز (بيوت مشتركة الجدران)  جميعها مؤلفة من طابق ارضي مع طابقين علوية مع طابق سرداب.المبانى عبارة عن هيكل خرساني وكتل طابوقيه (بلوك) مع انهاءاته الخارجية و الداخلية ,Freehold residential townhouses development located in Jumeirah Village Circle. The building is designed to be B+G+2 stories high and will consist of 14 villa units once completed. The building is designed to be built out of concrete structure and block  with internal and external finishes.,1100116309,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
42,42,ALSEEF I,15,15,اعمار العقارية (ش . م. ع),555,555,اعمار العقارية (ش . م. ع),17/05/2003,13/04/2005,1,عادي,1,مباني,null,,FINISHED,منجز,100,13/04/2005,, , ,1100086179,330,مرسى دبي,Marsa Dubai
46,46,BURLINGTON TOWER,15,15,الخليج التجاري (ش.ذ.م.م),898,898,الخليج التجاري (ش.ذ.م.م),30/04/2007,30/12/2012,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,19/09/2013,,مشروع برج تجاري للتملك الحر يقع في منطقة الخليج التجاري. المبنى مؤلف من 3 سرداب+طابق ارضي+ 4 طوابق قاعدة البرج (بوديوم) + 35 طابق علوي  بهيكل خرساني مع انهاءاته الداخلية والخارجية. وحدات المكاتب سوف تسلم بدون انهاء اعمال التركيب الداخلية والتي يتم تجهيزها لاحقا من قبل ملاك الوحدات,Freehold commercial development in Business Bay. The building is designed to be constructed as 3B+G+4P+35 formed in a concrete structure with its internal and external finishes. The office units will be handed over as ?core and shell? to be individually fitted by their respective owners.,1100166979,526,الخليج التجارى,Business Bay
51,51,OXFORD TOWER,15,15,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),13/07/2008,30/12/2012,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,30/12/2012,,مشروع مبنى تجاري للتملك الحر يقع في منطقة الخليج التجاري. المبنى مؤلف من2 سرداب+طابق ارضي+ 3منصة (بوديوم)+ 12 طابق علوي  بهيكل خرساني مع انهاءاته الداخلية والخارجية. وحدات المكاتب سوف تسلم بدون انهاء اعمال التركيب الداخلية والتي يتم تجهيزها لاحقا من قبل ملاك الوحداتو,Freehold commercial development in Business Bay. The building is designed to be constructed as 2B+G+3P+12 formed in a concrete structure with its internal and external finishes. The office units will be handed over as ?core and shell? to be individually fitted by their respective owners.,1100166978,526,الخليج التجارى,Business Bay
56,56,HAMILTON RESIDENCY,15,15,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),04/12/2007,20/05/2010,1,عادي,1,مباني,null,,FINISHED,منجز,100,20/05/2010,,مشروع برج سكني للتملك الحر يقع في منطقة الخليج التجاري. البناية عبارة عن برج مؤلف من سرداب+طابق ارضي+ 3 منصة (بوديوم)+ 16 طابق علوي مشيد من هيكل خرساني مع انهاءاته الخارجية و الداخلية,"Freehold residential tower development located in Business Bay, designed to have B+G+3P+16 floors. The building is being constructed as a concrete structure with its internal and external finishes.",1100172670,526,الخليج التجارى,Business Bay
252,252,SANDOVAL LANE,141,141,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),15/02/2009,12/12/2010,1,عادي,1,مباني,7,بنك الإمارات دبي الوطني (ش.م.ع),FINISHED,منجز,100,12/12/2010,,مشروع سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. المشروع عبارة عن 10 تاون هاوسز بيوت مشتركة (الجدران)  جميعها مؤلفة من طابق ارضي مع طابقين علوية.المبانى عبارة عن هيكل خرساني وكتل طابوقيه (بلوك) مع  انهاءاته الخارجية و الداخلية ,Freehold residential townhouses development located in Jumeirah Village 1st. The building is designed to be G+2 and will consist of 10 townhouse units once completed. The building is designed to be built out of concrete structure and block with internal and external finishes.,1100115672,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
